model,run_type,best_params,accuracy,precision,recall,f1
RandomForestClassifier,bayesian_search,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 4}",0.9666666666666668,0.9707070707070707,0.9666666666666668,0.9664818612187034
RandomForestClassifier,bayesian_search,"{'n_estimators': 200, 'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 1}",0.9666666666666668,0.9707070707070707,0.9666666666666668,0.9664818612187034
RandomForestClassifier,bayesian_search,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2}",0.9666666666666668,0.9707070707070707,0.9666666666666668,0.9664818612187034
RandomForestClassifier,bayesian_search,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2}",0.9666666666666668,0.9707070707070707,0.9666666666666668,0.9664818612187034
RandomForestClassifier,bayesian_search,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4}",0.96,0.9634343434343435,0.96,0.9598319029897976
RandomForestClassifier,bayesian_search,"{'n_estimators': 10, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2}",0.96,0.9656565656565658,0.96,0.9596972228551175
RandomForestClassifier,bayesian_search,"{'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 4}",0.9666666666666668,0.9707070707070707,0.9666666666666668,0.9664818612187034
RandomForestClassifier,bayesian_search,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 1}",0.9666666666666668,0.9707070707070707,0.9666666666666668,0.9664818612187034
RandomForestClassifier,bayesian_search,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 4}",0.9666666666666668,0.9707070707070707,0.9666666666666668,0.9664818612187034
RandomForestClassifier,bayesian_search,"{'n_estimators': 10, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 1}",0.9666666666666668,0.9707070707070707,0.9666666666666668,0.9664818612187034
RandomForestClassifier,bayesian_search,"{'n_estimators': 100, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1}",0.9666666666666668,0.9707070707070707,0.9666666666666668,0.9664818612187034
RandomForestClassifier,bayesian_search,"{'n_estimators': 10, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1}",0.96,0.9634343434343435,0.96,0.9598319029897976
RandomForestClassifier,bayesian_search,"{'n_estimators': 200, 'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 1}",0.9666666666666668,0.9707070707070707,0.9666666666666668,0.9664818612187034
RandomForestClassifier,bayesian_search,"{'n_estimators': 50, 'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1}",0.9666666666666668,0.9707070707070707,0.9666666666666668,0.9664818612187034
RandomForestClassifier,bayesian_search,"{'n_estimators': 10, 'max_depth': 3, 'min_samples_split': 2, 'min_samples_leaf': 2}",0.9666666666666668,0.9707070707070707,0.9666666666666668,0.9664818612187034
RandomForestClassifier,bayesian_search,"{'n_estimators': 50, 'max_depth': 7, 'min_samples_split': 10, 'min_samples_leaf': 2}",0.9666666666666668,0.9707070707070707,0.9666666666666668,0.9664818612187034
RandomForestClassifier,bayesian_search,"{'n_estimators': 200, 'max_depth': 3, 'min_samples_split': 5, 'min_samples_leaf': 4}",0.9533333333333334,0.9572390572390572,0.9533333333333334,0.9531151110098477
RandomForestClassifier,bayesian_search,"{'n_estimators': 100, 'max_depth': 3, 'min_samples_split': 10, 'min_samples_leaf': 1}",0.9666666666666668,0.9707070707070707,0.9666666666666668,0.9664818612187034
